DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Clermont,Toulouse,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,3,9,33,4,14,4,0,13,4,9,67,6,12,1,0
2022-09-07,France,Ligue 1,LEAGUE,2022/2023,Lorient,Olympique Lyonnais,H,3,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,11,6,5,33,1,8,1,0,15,8,7,67,6,18,3,0
2022-09-09,France,Ligue 1,LEAGUE,2022/2023,Lens,Troyes,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,63,9,16,2,0,7,2,5,37,1,10,1,0
2022-09-10,France,Ligue 1,LEAGUE,2022/2023,Paris Saint Germain,Brest,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,61,3,13,4,0,7,2,5,39,5,16,2,0
2022-09-10,France,Ligue 1,LEAGUE,2022/2023,Olympique Marseille,Lille,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,53,4,22,5,0,6,3,3,47,3,17,1,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Strasbourg,Clermont,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,43,3,20,4,1,11,2,9,57,5,15,2,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Angers SCO,Montpellier,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,45,2,1,2,0,8,2,6,55,5,0,4,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Lorient,Nantes,H,3,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,48,2,1,2,0,10,5,5,52,5,0,3,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Monaco,Olympique Lyonnais,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,39,1,12,1,0,16,5,11,61,6,9,2,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Rennes,Auxerre,H,5,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,8,3,48,2,11,1,0,9,1,8,52,1,9,1,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Ajaccio,Nice,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,44,2,9,1,0,12,3,9,56,3,11,5,0
2022-09-11,France,Ligue 1,LEAGUE,2022/2023,Toulouse,Reims,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,3,11,47,4,1,2,0,10,1,9,53,6,0,2,1
2022-09-16,France,Ligue 1,LEAGUE,2022/2023,Auxerre,Lorient,A,1,3,A,0,3,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,57,9,13,3,0,11,7,4,43,5,11,1,0
2022-09-17,France,Ligue 1,LEAGUE,2022/2023,Lille,Toulouse,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,45,5,20,2,0,15,5,10,55,7,14,0,0
2022-09-17,France,Ligue 1,LEAGUE,2022/2023,Montpellier,Strasbourg,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,50,8,11,4,0,7,2,5,50,6,20,4,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Olympique Marseille,Rennes,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,59,11,13,3,0,13,6,7,41,7,13,4,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Brest,Ajaccio,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,59,6,13,2,0,6,3,3,41,2,12,2,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Nantes,Lens,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,42,3,1,1,0,8,2,6,58,7,0,1,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Olympique Lyonnais,Paris Saint Germain,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,34,3,14,0,0,16,9,7,66,7,4,2,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Reims,Monaco,A,0,3,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,32,5,14,3,1,21,9,12,68,4,16,3,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Clermont,Troyes,A,1,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,15,2,13,59,5,8,0,0,10,4,6,41,1,15,3,0
2022-09-18,France,Ligue 1,LEAGUE,2022/2023,Nice,Angers SCO,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,17,5,12,50,5,9,0,1,16,2,14,50,4,11,4,1
2022-09-30,France,Ligue 1,LEAGUE,2022/2023,Angers SCO,Olympique Marseille,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,43,6,9,0,0,14,6,8,57,3,14,0,0
2022-10-01,France,Ligue 1,LEAGUE,2022/2023,Paris Saint Germain,Nice,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,57,4,16,1,0,5,1,4,43,0,9,1,0
2022-10-01,France,Ligue 1,LEAGUE,2022/2023,Strasbourg,Rennes,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,39,1,9,0,1,18,7,11,61,5,13,2,0
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Ajaccio,Clermont,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,52,4,0,3,0,7,4,3,48,4,1,3,0
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Auxerre,Brest,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,49,0,15,4,1,9,2,7,51,6,18,4,0
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Troyes,Reims,D,2,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,67,10,13,4,0,7,2,5,33,2,13,2,1
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Monaco,Nantes,H,4,1,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,48,7,8,0,0,8,3,5,52,7,10,1,0
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Lorient,Lille,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,5,3,37,0,13,3,1,22,6,16,63,14,14,3,0
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Toulouse,Montpellier,H,4,2,H,3,1,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,43,3,0,5,1,23,3,20,57,12,1,4,0
2022-10-02,France,Ligue 1,LEAGUE,2022/2023,Lens,Olympique Lyonnais,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,22,7,15,52,6,19,2,0,4,0,4,48,2,16,2,0
2022-10-07,France,Ligue 1,LEAGUE,2022/2023,Olympique Lyonnais,Toulouse,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,58,4,13,2,0,5,3,2,42,5,11,2,0
2022-10-08,France,Ligue 1,LEAGUE,2022/2023,Reims,Paris Saint Germain,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,25,4,21,37,7,20,3,0,12,3,9,63,3,12,5,1
2022-10-08,France,Ligue 1,LEAGUE,2022/2023,Olympique Marseille,Ajaccio,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,65,11,17,0,0,8,2,6,35,2,18,2,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Clermont,Auxerre,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,8,3,48,4,4,0,0,13,4,9,52,4,17,0,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Nice,Troyes,H,3,2,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,61,5,8,1,0,17,6,11,39,5,9,1,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Angers SCO,Strasbourg,A,2,3,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,55,6,16,1,0,16,8,8,45,6,14,1,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Rennes,Nantes,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,58,4,13,1,1,8,3,5,42,3,14,0,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Brest,Lorient,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,50,7,14,3,0,13,5,8,50,8,13,1,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Lille,Lens,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,45,5,0,3,0,10,2,8,55,9,1,5,0
2022-10-09,France,Ligue 1,LEAGUE,2022/2023,Montpellier,Monaco,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,1,11,51,7,13,2,0,11,8,3,49,2,16,3,0
2022-10-14,France,Ligue 1,LEAGUE,2022/2023,Strasbourg,Lille,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,6,1,5,43,3,12,3,0,7,5,2,57,0,17,1,0
2022-10-15,France,Ligue 1,LEAGUE,2022/2023,Lorient,Reims,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,48,2,10,1,0,8,1,7,52,2,17,3,2
2022-10-15,France,Ligue 1,LEAGUE,2022/2023,Lens,Montpellier,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,6,11,66,4,12,2,0,8,2,6,34,5,10,2,0
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Toulouse,Angers SCO,H,3,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,55,2,12,3,0,14,5,9,45,8,15,2,0
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Rennes,Olympique Lyonnais,H,3,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,40,3,13,2,0,9,6,3,60,2,14,2,0
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Troyes,Ajaccio,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,50,3,8,2,0,15,6,9,50,5,14,1,0
