DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-11-05,Germany,Bundesliga,LEAGUE,2022/2023,Hertha BSC,FC Bayern München,A,2,3,A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,7,6,1,28,2,13,0,0,14,6,8,72,7,9,0,0
2022-11-05,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Dortmund,VfL Bochum 1848,H,3,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,6,3,3,61,2,7,1,0,8,3,5,39,5,14,1,0
2022-11-05,Germany,Bundesliga,LEAGUE,2022/2023,Werder Bremen,Schalke 04,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,45,3,11,3,0,21,4,17,55,3,12,2,0
2022-11-05,Germany,Bundesliga,LEAGUE,2022/2023,FC Augsburg,Eintracht Frankfurt,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,9,4,5,41,3,17,0,0,12,7,5,59,7,15,1,0
2022-11-05,Germany,Bundesliga,LEAGUE,2022/2023,FSV Mainz 05,VfL Wolfsburg,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,15,2,13,56,9,15,1,0,10,3,7,44,4,6,1,0
2022-11-05,Germany,Bundesliga,LEAGUE,2022/2023,TSG Hoffenheim,RB Leipzig,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,37,6,9,4,0,16,8,8,63,3,9,2,0
2022-11-06,Germany,Bundesliga,LEAGUE,2022/2023,Bayer 04 Leverkusen,FC Union Berlin,H,5,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,8,3,59,1,11,1,0,7,1,6,41,5,16,4,0
2022-11-06,Germany,Bundesliga,LEAGUE,2022/2023,SC Freiburg,FC Köln,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,55,5,9,0,0,6,2,4,45,3,10,1,0
2022-11-08,Germany,Bundesliga,LEAGUE,2022/2023,VfB Stuttgart,Hertha BSC,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,18,7,11,60,8,9,3,0,10,2,8,40,5,15,2,0
2022-11-08,Germany,Bundesliga,LEAGUE,2022/2023,FC Bayern München,Werder Bremen,H,6,1,H,4,1,N/A,N/A,N/A,N/A,N/A,N/A,19,10,9,61,8,9,0,0,6,2,4,39,4,8,0,0
2022-11-08,Germany,Bundesliga,LEAGUE,2022/2023,VfL Wolfsburg,Borussia Dortmund,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,8,9,37,6,11,3,0,20,8,12,63,9,12,2,0
2022-11-08,Germany,Bundesliga,LEAGUE,2022/2023,VfL Bochum 1848,Borussia Mönchengladbach,H,2,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,46,6,11,1,0,9,3,6,54,3,14,3,0
